G文件,环网柜序号,矩形框XML ID,环网柜名称,环网柜类型,类型识别来源,图内文字类型,devref类型,类型交叉校验,柜型校验状态,柜型交叉校验说明,是否智能,智能标识,状态,说明,数据库记录数,数据库是否唯一,环网柜ID,G图设备数,数据库唯一匹配设备数,环网柜设备是否完整,已正确关联设备数,未关联设备数,关联错误设备数,RMU可关联,RMU级关联阻断原因,设备级阻断原因,G图元匹配问题,数据库匹配问题
JED-NTH-ABH.sln.pic.g,188,2000359,43109,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578229,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,189,2000437,43124,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578249,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,190,2002453,30902,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578337,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,191,2000234,9406,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578233,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,192,2000243,24675,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625909,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,193,2000882,39466,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,SMART,SMART,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570625982,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,194,2000821,27546,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578454,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,195,2002478,33430,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578510,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,196,2002458,30885,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578335,7,7,YES,7,0,0,YES,,,,
JED-NTH-ABH.sln.pic.g,197,2000840,30844,2L1T,TEXT_YQ,2L1T,2L1T,YES,PASS,,NORMAL,,PASS,RMU_MODEL_DATA_VALID,1,YES,3800193660570578299,7,7,YES,7,0,0,YES,,,,
